Sample,Date,Week ,Month,LATITUDE_Y,LONGITUDE_X,Site,City,Microcystin,TDFe,pH,DOC,TKP,TKN,NH3,Nox,NO2,Cl,SO4,16S,Microcystis_mcyA,Anabaena_mcyA,Planktothrix_mcyA
1-21350001,5/22/2018,1,May,42.77043,-93.23654,Beeds_Lake,HAMPTON,0.402,22.9,8.5,2.769,1.243,0.495,0.02,4.871,,17.091,16.614,3.34E+06,0.00E+00,0.00E+00,0.00E+00
1-21810002,5/22/2018,1,May,42.29637,-95.02906,Black_Hawk_Beach,LAKE VIEW,0.465,17.9,8,6.172,1.266,0.565,0.065,0.445,-0.0747,25.221,21.104,1.04E+06,2.00E+03,0.00E+00,0.00E+00
1-21940001,5/22/2018,1,May,42.38858,-93.97857,Brushy_Creek_Beach,LEHIGH,0.472,20.2,8.1,4.087,1.33,0.491,0.065,8.985,-0.0419,23.732,19.929,3.69E+05,0.00E+00,0.00E+00,0.00E+00
1-21170001,5/22/2018,1,May,43.12524,-93.41469,Clear_Lake,CLEAR LAKE,1.163,14.3,8.7,6.488,1.217,0.468,0.03,0.042,,14.666,9.638,6.14E+05,4.65E+03,0.00E+00,0.00E+00
1-21810001,5/22/2018,1,May,42.30153,-95.036022,Denison_Beach,LAKE VIEW,0.872,14.5,8.1,8.049,1.593,0.504,0.144,0.464,-0.0658,24.853,21.128,1.06E+06,5.05E+04,0.00E+00,0.00E+00
1-21420001,5/22/2018,1,May,42.36695,-93.07805,Lower_Pine_Lake_Beach,ELDORA,0.66,26.2,8.4,3.036,1.245,0.586,0.049,3.859,,14.101,10.293,1.88E+06,2.05E+03,0.00E+00,0.00E+00
1-21170002,5/22/2018,1,May,43.120293,-93.458859,McIntosh_Woods_Beach,VENTURA,1,17.4,8.7,6.828,1.328,0.536,-0.008,0.171,,14.609,10.443,7.82E+05,8.77E+03,0.00E+00,0.00E+00
1-21130002,5/22/2018,1,May,42.479711,-94.633626,North_Twin_Lake_East_Beach ,ROCKWELL CITY,0.61,17.1,8.4,6.911,1.333,0.688,0.175,0.121,-0.0941,30.301,-9.396,7.91E+05,1.62E+03,0.00E+00,0.00E+00
1-21130001,5/22/2018,1,May,42.47907,-94.636946,North_Twin_Lake_West_Beach ,ROCKWELL CITY,0.52,16.3,8.4,6.918,1.251,0.663,0.167,0.164,-0.0954,29.231,-15.456,7.71E+05,7.69E+03,0.00E+00,0.00E+00
1-21500001,5/22/2018,1,May,41.73963,-92.85499,Rock_Creek_Beach,KELLOGG,0.235,24.6,8.2,5.117,1.224,0.943,0.579,2.069,,15.368,14.456,1.62E+06,0.00E+00,0.00E+00,0.00E+00
 2-21350001,5/31/2018,2,May,42.77043,-93.23654,Beeds_Lake,HAMPTON,0.178,17.2,8.7,2.925,1.308,0.458,0.027956,9.556,0.0638,16.834,15.455,8.04E+06,8.82E+02,0.00E+00,0.00E+00
 2-21810002,5/31/2018,2,May,42.29637,-95.02906,Black_Hawk_Beach,LAKE VIEW,1.962,17.1,8.5,7.431,1.275,0.467,0.024323,0.054,0.0087,22.621,20.48,7.98E+05,1.34E+04,0.00E+00,0.00E+00
 2-21940001,5/31/2018,2,May,42.38858,-93.97857,Brushy_Creek_Beach,LEHIGH,0.135,16.9,8,4.188,1.276,0.475,0.014151,9.175,0.0797,22.106,21.204,1.17E+06,0.00E+00,0.00E+00,0.00E+00
 2-21170001,5/31/2018,2,May,43.12524,-93.41469,Clear_Lake,CLEAR LAKE,10.423,14.2,8.1,6.749,1.274,0.471,0.010872,0.031,0.0024,14.13,8.923,1.51E+06,2.73E+04,0.00E+00,0.00E+00
 2-21810001,5/31/2018,2,May,42.30153,-95.036022,Denison_Beach,LAKE VIEW,0.543,17.1,8.3,7.16,1.316,0.508,0.015098,0.408,0.0333,23.793,21.042,2.49E+06,1.28E+05,0.00E+00,0.00E+00
 2-21420001,5/31/2018,2,May,42.36695,-93.07805,Lower_Pine_Lake_Beach,ELDORA,0.345,18.7,8.7,3.408,1.424,0.447,0.030408,4.083,0.0885,14.303,9.118,3.09E+06,1.62E+03,0.00E+00,0.00E+00
 2-21170002,5/31/2018,2,May,43.120293,-93.458859,McIntosh_Woods_Beach,VENTURA,1.095,14.7,8.7,7.945,1.363,0.5,0.021412,0.09,0.0126,13.044,9.515,1.29E+06,5.78E+04,0.00E+00,0.00E+00
 2-21130002,5/31/2018,2,May,42.479711,-94.633626,North_Twin_Lake_East_Beach ,ROCKWELL CITY,0.425,15,8,8.083,1.247,0.775,0.08612,0.144,0.0162,27.548,-33.823,8.35E+05,2.21E+03,0.00E+00,0.00E+00
 2-21130001,5/31/2018,2,May,42.47907,-94.636946,North_Twin_Lake_West_Beach ,ROCKWELL CITY,0.183,13.1,8,8.346,1.263,0.85,0.084012,0.139,0.0173,27.439,-53.955,1.11E+06,2.03E+03,0.00E+00,0.00E+00
 2-21500001,5/31/2018,2,May,41.73963,-92.85499,Rock_Creek_Beach,KELLOGG,0.195,18.5,8.7,4.706,1.328,0.482,0.022295,1.894,0.1395,16.452,14.967,4.00E+06,6.82E+02,0.00E+00,0.00E+00
3-21280001,6/5/2018,3,June,42.601715,-91.534234,Backbone_Beach,DUNDEE,0.121,12.7,8.01,1.694,1.327,0.423,0.085,13.012,0.0603,21.218,22.536,2.19E+06,0.00E+00,0.00E+00,0.00E+00
3-21350001,6/5/2018,3,June,42.77043,-93.23654,Beeds_Lake,HAMPTON,0.075,17,7.7,2.712,1.867,0.143,,7.795,0.0908,16.445,15.392,5.28E+06,0.00E+00,0.00E+00,0.00E+00
3-21770001,6/5/2018,3,June,41.79395,-93.73185,Big_Creek_Beach,POLK CITY,0.19,12.9,8,3.462,1.372,0.396,0.053,4.855,0.0759,24.925,11.775,4.34E+06,5.76E+02,0.00E+00,0.00E+00
3-21810002,6/5/2018,3,June,42.29637,-95.02906,Black_Hawk_Beach,LAKE VIEW,0.299,17.1,8.6,6.787,1.362,0.344,0.021,0.039,0.0024,23.687,17.713,1.79E+06,5.66E+03,0.00E+00,0.00E+00
3-21940001,6/5/2018,3,June,42.38858,-93.97857,Brushy_Creek_Beach,LEHIGH,0.195,14.8,8,4.18,1.332,0.331,0.027,10.039,0.0883,21.249,17.871,9.09E+05,2.49E+03,0.00E+00,0.00E+00
3-21170001,6/5/2018,3,June,43.12524,-93.41469,Clear_Lake,CLEAR LAKE,1.248,10.1,8,6.805,1.752,0.219,,0.02,0.0185,15.022,9.379,2.61E+06,3.71E+04,0.00E+00,0.00E+00
3-21300005,6/5/2018,3,June,43.496339,-95.120872,Crandalls_Beach,MILFORD,0.168,11.2,8.2,5.808,1.807,0.23,,0.129,0.0258,18.615,18.211,4.14E+06,1.04E+04,0.00E+00,0.00E+00
3-21810001,6/5/2018,3,June,42.30153,-95.036022,Denison_Beach,LAKE VIEW,2.342,17.6,8.8,6.624,1.357,0.416,0.014,0.082,0.0119,26.558,20.916,3.66E+06,6.74E+04,0.00E+00,0.00E+00
3-21300004,6/5/2018,3,June,43.356726,-95.175393,Emerson_Bay_Beach,MILFORD,0.584,12.7,8.5,5.839,1.751,0.175,,0.005,0.0175,24.93,14.18,4.14E+06,0.00E+00,0.00E+00,0.00E+00
3-21070001,6/5/2018,3,June,42.53497,-92.40055,George_Wyth_Beach,WATERLOO,0.446,21.4,8.23,5.701,1.34,0.411,0.028,0.016,0.002,56.735,16.341,2.19E+06,8.60E+03,0.00E+00,0.00E+00
3-21880001,6/5/2018,3,June,41.09832,-94.38405,Green_Valley_Beach,CRESTON,1.473,25.1,8.2,8.261,1.352,0.38,0.003,0.039,0.0051,8.979,10.377,1.28E+06,1.92E+04,0.00E+00,0.00E+00
3-21300001,6/5/2018,3,June,43.371344,-95.161174,Gull_Point_Beach,MILFORD,0.183,10.7,8.3,5.654,1.785,0.181,,0.02,0.0189,24.689,15.556,4.67E+06,5.47E+03,0.00E+00,0.00E+00
3-21040001,6/5/2018,3,June,40.869963,-92.915908,Honey_Creek_Resort_Beach,MORAVIA,0.255,7.66,8.13,5.876,1.746,0.198,,0.043,0.0289,9.947,19.112,1.11E+06,2.78E+03,0.00E+00,0.00E+00
3-21890001,6/5/2018,3,June,40.7111,-91.96997,Lacey_Keosauqua_Beach,KEOSAUQUA,0.373,12.2,8.04,7.602,1.796,0.189,,0.069,0.0191,5.56,38.274,4.52E+06,2.91E+03,0.00E+00,0.00E+00
3-21910001,6/5/2018,3,June,41.29261,-93.59564,Lake_Ahquabi_Beach,INDIANOLA,0.252,10.5,8.3,6.83,1.794,0.277,,0.031,0.0204,11.588,7.805,2.02E+06,7.71E+02,0.00E+00,0.00E+00
