Group	Depth	Month	Chla_100	Name	Oxygen
0	0	May	no	Surface	oxic
1	1	May	no	one	oxic
2	2	May	no	two	oxic
3	3	May	no	three	oxic
4	4	May	no	four	oxic
5	5	May	yes	five	oxic
S224	5.1	May	yes	five.one	oxic
6	6	May	yes	six	oxic
7	7	May	no	seven	suboxic
8	8	May	no	eight	anoxic
9	9	May	no	nine	anoxic
10	10	May	no	ten	anoxic
0m	0	September	no	zero	oxic
1m	1	September	no	one	oxic
2m	2	September	no	two	oxic
3m	3	September	no	three	oxic
4m	4	September	no	four	oxic
5m	5	September	no	five	suboxic
S231	5.8	September	yes	five.eight	suboxic
6m	6	September	yes	six	anoxic
S233	6.8	September	no	six.eight	anoxic
7m	7	September	no	seven	anoxic
8m	8	September	no	eight	anoxic
9m	9	September	no	nine	anoxic
S237	9.5	September	no	nine.five	anoxic
